Chỉ tiêu,Date,Value
GDP theo giá hiện hành,Quý 1/2013,100.0
GDP theo giá hiện hành,Quý 2/2013,121.47
GDP theo giá hiện hành,6 tháng/2013,182.33
GDP theo giá hiện hành,Quý 3/2013,59.89
GDP theo giá hiện hành,9 tháng/2013,266.98
GDP theo giá hiện hành,Quý 4/2013,48.06
GDP theo giá hiện hành,Quý 1/2014,65.03
GDP theo giá hiện hành,Quý 2/2014,120.49
GDP theo giá hiện hành,6 tháng/2014,182.99
GDP theo giá hiện hành,Quý 3/2014,60.23
GDP theo giá hiện hành,9 tháng/2014,266.02
GDP theo giá hiện hành,Quý 4/2014,47.32
GDP theo giá hiện hành,Quý 1/2015,63.95
GDP theo giá hiện hành,Quý 2/2015,119.95
GDP theo giá hiện hành,6 tháng/2015,183.37
GDP theo giá hiện hành,Quý 3/2015,60.27
GDP theo giá hiện hành,9 tháng/2015,265.93
GDP theo giá hiện hành,Quý 4/2015,47.05
GDP theo giá hiện hành,Quý 1/2016,63.39
GDP theo giá hiện hành,Quý 2/2016,121.08
GDP theo giá hiện hành,6 tháng/2016,182.59
GDP theo giá hiện hành,Quý 3/2016,61.6
GDP theo giá hiện hành,9 tháng/2016,262.34
GDP theo giá hiện hành,Quý 4/2016,
GDP theo giá hiện hành,Quý 1/2017,
GDP theo giá hiện hành,Quý 2/2017,121.0
GDP theo giá hiện hành,6 tháng/2017,182.65
GDP theo giá hiện hành,Quý 3/2017,61.8
GDP theo giá hiện hành,9 tháng/2017,261.8
GDP theo giá hiện hành,Quý 4/2017,50.33
GDP theo giá hiện hành,Quý 1/2018,61.31
GDP theo giá hiện hành,Quý 2/2018,137.58
GDP theo giá hiện hành,6 tháng/2018,160.52
GDP theo giá hiện hành,Quý 3/2018,54.72
GDP theo giá hiện hành,9 tháng/2018,296.66
GDP theo giá hiện hành,Quý 4/2018,50.25
GDP theo giá hiện hành,Quý 1/2019,60.3
GDP theo giá hiện hành,Quý 2/2019,122.41
GDP theo giá hiện hành,6 tháng/2019,181.79
GDP theo giá hiện hành,Quý 3/2019,61.94
GDP theo giá hiện hành,9 tháng/2019,261.47
GDP theo giá hiện hành,Quý 4/2019,49.97
GDP theo giá hiện hành,Quý 1/2020,59.09
GDP theo giá hiện hành,Quý 2/2020,116.39
GDP theo giá hiện hành,6 tháng/2020,186.3
GDP theo giá hiện hành,Quý 3/2020,61.85
GDP theo giá hiện hành,9 tháng/2020,261.67
GDP theo giá hiện hành,Quý 4/2020,50.87
GDP theo giá hiện hành,Quý 1/2021,90.29
GDP theo giá hiện hành,Quý 2/2021,107.05
GDP theo giá hiện hành,6 tháng/2021,195.25
GDP theo giá hiện hành,Quý 3/2021,49.63
GDP theo giá hiện hành,9 tháng/2021,301.23
GDP theo giá hiện hành,Quý 4/2021,40.08
GDP theo giá hiện hành,Quý 1/2022,88.9
GDP theo giá hiện hành,Quý 2/2022,107.47
GDP theo giá hiện hành,6 tháng/2022,193.25
GDP theo giá hiện hành,Quý 3/2022,53.58
GDP theo giá hiện hành,9 tháng/2022,288.18
GDP theo giá hiện hành,Quý 4/2022,39.03
GDP theo giá hiện hành,Quý 1/2023,86.2
GDP theo giá hiện hành,Quý 2/2023,106.25
GDP theo giá hiện hành,6 tháng/2023,193.95
GDP theo giá hiện hành,Quý 3/2023,53.58
GDP theo giá hiện hành,9 tháng/2023,286.08
GDP theo giá hiện hành,Quý 4/2023,40.19
GDP theo giá hiện hành,Quý 1/2024,86.03
GDP theo giá hiện hành,Quý 2/2024,108.53
