Chỉ tiêu,Date,Value
Dầu thô,Tháng 1/2013,100.0
Dầu thô,Tháng 2/2013,73.56
Dầu thô,Tháng 3/2013,130.18
Dầu thô,Tháng 4/2013,84.07
Dầu thô,Tháng 5/2013,120.45
Dầu thô,Tháng 6/2013,105.45
Dầu thô,Tháng 7/2013,88.48
Dầu thô,Tháng 8/2013,107.35
Dầu thô,Tháng 9/2013,72.01
Dầu thô,Tháng 10/2013,142.76
Dầu thô,Tháng 11/2013,110.14
Dầu thô,Tháng 12/2013,83.93
Dầu thô,Tháng 1/2014,82.65
Dầu thô,Tháng 2/2014,118.81
Dầu thô,Tháng 3/2014,105.0
Dầu thô,Tháng 4/2014,117.78
Dầu thô,Tháng 5/2014,103.77
Dầu thô,Tháng 6/2014,93.25
Dầu thô,Tháng 7/2014,101.81
Dầu thô,Tháng 8/2014,95.49
Dầu thô,Tháng 9/2014,64.47
Dầu thô,Tháng 10/2014,115.33
Dầu thô,Tháng 11/2014,83.82
Dầu thô,Tháng 12/2014,95.17
Dầu thô,Tháng 1/2015,73.43
Dầu thô,Tháng 2/2015,98.68
Dầu thô,Tháng 3/2015,88.33
Dầu thô,Tháng 4/2015,202.26
Dầu thô,Tháng 5/2015,45.9
Dầu thô,Tháng 6/2015,152.85
Dầu thô,Tháng 7/2015,82.45
Dầu thô,Tháng 8/2015,90.32
Dầu thô,Tháng 9/2015,110.71
Dầu thô,Tháng 10/2015,89.03
Dầu thô,Tháng 11/2015,97.83
Dầu thô,Tháng 12/2015,120.0
Dầu thô,Tháng 1/2016,44.75
Dầu thô,Tháng 2/2016,88.28
Dầu thô,Tháng 3/2016,120.31
Dầu thô,Tháng 4/2016,116.88
Dầu thô,Tháng 5/2016,111.11
Dầu thô,Tháng 6/2016,106.5
Dầu thô,Tháng 7/2016,109.39
Dầu thô,Tháng 8/2016,70.39
Dầu thô,Tháng 9/2016,112.8
Dầu thô,Tháng 10/2016,143.24
Dầu thô,Tháng 11/2016,67.92
Dầu thô,Tháng 12/2016,121.11
Dầu thô,Tháng 1/2017,87.61
Dầu thô,Tháng 2/2017,117.8
Dầu thô,Tháng 3/2017,93.33
Dầu thô,Tháng 4/2017,140.95
Dầu thô,Tháng 5/2017,72.64
Dầu thô,Tháng 6/2017,186.05
Dầu thô,Tháng 7/2017,65.0
Dầu thô,Tháng 8/2017,65.38
Dầu thô,Tháng 9/2017,170.59
Dầu thô,Tháng 10/2017,65.52
Dầu thô,Tháng 11/2017,103.16
Dầu thô,Tháng 12/2017,153.06
Dầu thô,Tháng 1/2018,63.67
Dầu thô,Tháng 2/2018,99.48
Dầu thô,Tháng 3/2018,75.26
Dầu thô,Tháng 4/2018,102.8
Dầu thô,Tháng 5/2018,183.67
Dầu thô,Tháng 6/2018,61.11
Dầu thô,Tháng 7/2018,152.73
Dầu thô,Tháng 8/2018,99.21
Dầu thô,Tháng 9/2018,84.0
Dầu thô,Tháng 10/2018,82.38
Dầu thô,Tháng 11/2018,121.39
Dầu thô,Tháng 12/2018,109.52
Dầu thô,Tháng 1/2019,78.26
Dầu thô,Tháng 2/2019,233.33
Dầu thô,Tháng 3/2019,40.48
Dầu thô,Tháng 4/2019,105.88
Dầu thô,Tháng 5/2019,105.56
Dầu thô,Tháng 6/2019,75.26
Dầu thô,Tháng 7/2019,144.06
Dầu thô,Tháng 8/2019,79.13
Dầu thô,Tháng 9/2019,73.62
Dầu thô,Tháng 10/2019,183.33
Dầu thô,Tháng 11/2019,70.0
Dầu thô,Tháng 12/2019,116.88
Dầu thô,Tháng 1/2020,103.89
Dầu thô,Tháng 2/2020,113.9
Dầu thô,Tháng 3/2020,66.2
Dầu thô,Tháng 4/2020,109.22
Dầu thô,Tháng 5/2020,71.43
Dầu thô,Tháng 6/2020,106.36
Dầu thô,Tháng 7/2020,93.16
Dầu thô,Tháng 8/2020,183.49
Dầu thô,Tháng 9/2020,105.0
Dầu thô,Tháng 10/2020,64.29
Dầu thô,Tháng 11/2020,70.37
Dầu thô,Tháng 12/2020,111.58
Dầu thô,Tháng 1/2021,127.36
Dầu thô,Tháng 2/2021,39.26
Dầu thô,Tháng 3/2021,300.0
Dầu thô,Tháng 4/2021,64.15
Dầu thô,Tháng 5/2021,141.18
Dầu thô,Tháng 6/2021,81.25
Dầu thô,Tháng 7/2021,51.28
Dầu thô,Tháng 8/2021,105.0
Dầu thô,Tháng 9/2021,209.52
Dầu thô,Tháng 10/2021,161.36
Dầu thô,Tháng 11/2021,112.68
Dầu thô,Tháng 12/2021,42.08
Dầu thô,Tháng 1/2022,111.88
Dầu thô,Tháng 2/2022,175.22
Dầu thô,Tháng 3/2022,143.94
Dầu thô,Tháng 4/2022,110.53
Dầu thô,Tháng 5/2022,84.44
Dầu thô,Tháng 6/2022,112.41
Dầu thô,Tháng 7/2022,129.77
Dầu thô,Tháng 8/2022,88.66
Dầu thô,Tháng 9/2022,49.42
Dầu thô,Tháng 10/2022,68.24
Dầu thô,Tháng 11/2022,212.93
Dầu thô,Tháng 12/2022,94.74
Dầu thô,Tháng 1/2023,59.4
Dầu thô,Tháng 2/2023,146.04
Dầu thô,Tháng 3/2023,120.69
Dầu thô,Tháng 4/2023,50.2
Dầu thô,Tháng 5/2023,174.8
Dầu thô,Tháng 6/2023,45.58
Dầu thô,Tháng 7/2023,228.57
