Chỉ tiêu,Đơn vị tính,Date,Value
Dầu thô,Triệu USD,Tháng 1/2013,662.0
Dầu thô,Triệu USD,Tháng 2/2013,487.0
Dầu thô,Triệu USD,Tháng 3/2013,634.0
Dầu thô,Triệu USD,Tháng 4/2013,533.0
Dầu thô,Triệu USD,Tháng 5/2013,642.0
Dầu thô,Triệu USD,Tháng 6/2013,677.0
Dầu thô,Triệu USD,Tháng 7/2013,599.0
Dầu thô,Triệu USD,Tháng 8/2013,643.0
Dầu thô,Triệu USD,Tháng 9/2013,463.0
Dầu thô,Triệu USD,Tháng 10/2013,661.0
Dầu thô,Triệu USD,Tháng 11/2013,728.0
Dầu thô,Triệu USD,Tháng 12/2013,611.0
Dầu thô,Triệu USD,Tháng 1/2014,505.0
Dầu thô,Triệu USD,Tháng 2/2014,600.0
Dầu thô,Triệu USD,Tháng 3/2014,630.0
Dầu thô,Triệu USD,Tháng 4/2014,742.0
Dầu thô,Triệu USD,Tháng 5/2014,770.0
Dầu thô,Triệu USD,Tháng 6/2014,718.0
Dầu thô,Triệu USD,Tháng 7/2014,731.0
Dầu thô,Triệu USD,Tháng 8/2014,698.0
Dầu thô,Triệu USD,Tháng 9/2014,450.0
Dầu thô,Triệu USD,Tháng 10/2014,519.0
Dầu thô,Triệu USD,Tháng 11/2014,435.0
Dầu thô,Triệu USD,Tháng 12/2014,414.0
Dầu thô,Triệu USD,Tháng 1/2015,304.0
Dầu thô,Triệu USD,Tháng 2/2015,300.0
Dầu thô,Triệu USD,Tháng 3/2015,265.0
Dầu thô,Triệu USD,Tháng 4/2015,536.0
Dầu thô,Triệu USD,Tháng 5/2015,246.0
Dầu thô,Triệu USD,Tháng 6/2015,376.0
Dầu thô,Triệu USD,Tháng 7/2015,310.0
Dầu thô,Triệu USD,Tháng 8/2015,280.0
Dầu thô,Triệu USD,Tháng 9/2015,310.0
Dầu thô,Triệu USD,Tháng 10/2015,276.0
Dầu thô,Triệu USD,Tháng 11/2015,270.0
Dầu thô,Triệu USD,Tháng 12/2015,324.0
Dầu thô,Triệu USD,Tháng 1/2016,145.0
Dầu thô,Triệu USD,Tháng 2/2016,128.0
Dầu thô,Triệu USD,Tháng 3/2016,154.0
Dầu thô,Triệu USD,Tháng 4/2016,180.0
Dầu thô,Triệu USD,Tháng 5/2016,200.0
Dầu thô,Triệu USD,Tháng 6/2016,213.0
Dầu thô,Triệu USD,Tháng 7/2016,233.0
Dầu thô,Triệu USD,Tháng 8/2016,164.0
Dầu thô,Triệu USD,Tháng 9/2016,185.0
Dầu thô,Triệu USD,Tháng 10/2016,265.0
Dầu thô,Triệu USD,Tháng 11/2016,180.0
Dầu thô,Triệu USD,Tháng 12/2016,218.0
Dầu thô,Triệu USD,Tháng 1/2017,191.0
Dầu thô,Triệu USD,Tháng 2/2017,225.0
Dầu thô,Triệu USD,Tháng 3/2017,210.0
Dầu thô,Triệu USD,Tháng 4/2017,296.0
Dầu thô,Triệu USD,Tháng 5/2017,215.0
Dầu thô,Triệu USD,Tháng 6/2017,400.0
Dầu thô,Triệu USD,Tháng 7/2017,260.0
Dầu thô,Triệu USD,Tháng 8/2017,170.0
Dầu thô,Triệu USD,Tháng 9/2017,290.0
Dầu thô,Triệu USD,Tháng 10/2017,190.0
Dầu thô,Triệu USD,Tháng 11/2017,196.0
Dầu thô,Triệu USD,Tháng 12/2017,300.0
Dầu thô,Triệu USD,Tháng 1/2018,191.0
Dầu thô,Triệu USD,Tháng 2/2018,190.0
Dầu thô,Triệu USD,Tháng 3/2018,143.0
Dầu thô,Triệu USD,Tháng 4/2018,147.0
Dầu thô,Triệu USD,Tháng 5/2018,270.0
Dầu thô,Triệu USD,Tháng 6/2018,165.0
Dầu thô,Triệu USD,Tháng 7/2018,252.0
Dầu thô,Triệu USD,Tháng 8/2018,250.0
Dầu thô,Triệu USD,Tháng 9/2018,210.0
Dầu thô,Triệu USD,Tháng 10/2018,173.0
Dầu thô,Triệu USD,Tháng 11/2018,210.0
Dầu thô,Triệu USD,Tháng 12/2018,230.0
Dầu thô,Triệu USD,Tháng 1/2019,180.0
Dầu thô,Triệu USD,Tháng 2/2019,420.0
Dầu thô,Triệu USD,Tháng 3/2019,170.0
Dầu thô,Triệu USD,Tháng 4/2019,180.0
Dầu thô,Triệu USD,Tháng 5/2019,190.0
Dầu thô,Triệu USD,Tháng 6/2019,143.0
Dầu thô,Triệu USD,Tháng 7/2019,206.0
Dầu thô,Triệu USD,Tháng 8/2019,163.0
Dầu thô,Triệu USD,Tháng 9/2019,120.0
Dầu thô,Triệu USD,Tháng 10/2019,220.0
Dầu thô,Triệu USD,Tháng 11/2019,154.0
Dầu thô,Triệu USD,Tháng 12/2019,180.0
Dầu thô,Triệu USD,Tháng 1/2020,187.0
Dầu thô,Triệu USD,Tháng 2/2020,213.0
Dầu thô,Triệu USD,Tháng 3/2020,141.0
Dầu thô,Triệu USD,Tháng 4/2020,154.0
Dầu thô,Triệu USD,Tháng 5/2020,110.0
Dầu thô,Triệu USD,Tháng 6/2020,117.0
Dầu thô,Triệu USD,Tháng 7/2020,109.0
Dầu thô,Triệu USD,Tháng 8/2020,200.0
Dầu thô,Triệu USD,Tháng 9/2020,210.0
Dầu thô,Triệu USD,Tháng 10/2020,135.0
Dầu thô,Triệu USD,Tháng 11/2020,95.0
Dầu thô,Triệu USD,Tháng 12/2020,106.0
Dầu thô,Triệu USD,Tháng 1/2021,135.0
Dầu thô,Triệu USD,Tháng 2/2021,53.0
Dầu thô,Triệu USD,Tháng 3/2021,159.0
Dầu thô,Triệu USD,Tháng 4/2021,102.0
Dầu thô,Triệu USD,Tháng 5/2021,144.0
Dầu thô,Triệu USD,Tháng 6/2021,117.0
Dầu thô,Triệu USD,Tháng 7/2021,60.0
Dầu thô,Triệu USD,Tháng 8/2021,63.0
Dầu thô,Triệu USD,Tháng 9/2021,132.0
Dầu thô,Triệu USD,Tháng 10/2021,213.0
Dầu thô,Triệu USD,Tháng 11/2021,240.0
Dầu thô,Triệu USD,Tháng 12/2021,101.0
Dầu thô,Triệu USD,Tháng 1/2022,113.0
Dầu thô,Triệu USD,Tháng 2/2022,198.0
Dầu thô,Triệu USD,Tháng 3/2022,285.0
Dầu thô,Triệu USD,Tháng 4/2022,315.0
Dầu thô,Triệu USD,Tháng 5/2022,266.0
Dầu thô,Triệu USD,Tháng 6/2022,299.0
Dầu thô,Triệu USD,Tháng 7/2022,388.0
Dầu thô,Triệu USD,Tháng 8/2022,344.0
